OBJECTID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
79,1231,Suokalliontie,Mossabergsvägen,Suokalliontie,Tikkurilantie 164,Dickursbyvägen 164,Vantaa,Vantaa,City Bike Vantaa,10,24.8972976570738,60.306322595518
80,1233,Tahkotie,Slipstensvägen,Tahkotie,Tikkurilantie 156,Dickursbyvägen 156,Vantaa,Vantaa,City Bike Vantaa,10,24.9110119104196,60.3035270832828
81,1235,Riistakuja,Villebrådsgränden,Riistakuja,Riistakuja 5,Villebrådsgränden 5,Vantaa,Vantaa,City Bike Vantaa,10,24.9070643359901,60.2952683469488
82,1237,Tuupakankuja,Stubbackagränden,Tuupakankuja,Tuupakantie 10,Stubbackavägen 10,Vantaa,Vantaa,City Bike Vantaa,10,24.8914872548331,60.2963001159682
83,1239,Vantaanlaaksontie,Vandadalsvägen,Vantaanlaaksontie,Vantaanlaaksontie 42,Vandadalsvägen 42,Vantaa,Vantaa,City Bike Vantaa,10,24.8724942923909,60.283191833777
84,1241,Vetokuja,Draggränden,Vetokuja,Vantaanlaaksontie 10,Vandadalsvägen 10,Vantaa,Vantaa,City Bike Vantaa,10,24.8789873846949,60.2694491082084
85,1243,Silvola,Sillböle,Silvola,Vaskivuorentie 7,Kopparbergsvägen 7,Vantaa,Vantaa,City Bike Vantaa,10,24.8815985664654,60.2651189492684
86,1245,Kaivokselantie,Gruvstavägen,Kaivokselantie,Kaivokselantie 9,Gruvstavägen 9,Vantaa,Vantaa,City Bike Vantaa,10,24.8724826235859,60.2687429742353
87,1247,Vuorimestarintori,Bergmästartorget,Vuorimestarintori,Louhijantie 3,Malmbrytarvägen 3,Vantaa,Vantaa,City Bike Vantaa,20,24.8716414876708,60.2639194409395
88,1249,Aapraminkaari,Abramsbågen,Aapraminkaari,Aapraminkaari 1,Abramsbågen 1,Vantaa,Vantaa,City Bike Vantaa,10,24.8671398715297,60.2579401947044
89,1251,Ollaksentie,Ollasvägen,Ollaksentie,Ylästöntie 106,Övitsbölevägen 106,Vantaa,Vantaa,City Bike Vantaa,10,24.9107004790928,60.2846073425347
90,1253,Laajavuorentie,Bredbergsvägen,Laajavuorentie,Laajavuorentie 4,Bredbergsvägen 4,Vantaa,Vantaa,City Bike Vantaa,10,24.8483852194779,60.2817800725658
91,1255,Martinlaaksontie,Mårtensdalsvägen,Martinlaaksontie,Martinlaaksontie 1,Mårtensdalsvägen 1,Vantaa,Vantaa,City Bike Vantaa,10,24.867402890928,60.2778248956229
92,1257,Kauppalaivurintie,Handelsskepparvägen,Kauppalaivurintie,Martinkyläntie 1,Mårtensbyvägen 1,Vantaa,Vantaa,City Bike Vantaa,10,24.8663430820633,60.2903328758013
93,1259,Malminiitynpuisto,Malmängsparken,Malminiitynpuisto,Malminiityntie 11,Malmängsvägen 11,Vantaa,Vantaa,City Bike Vantaa,20,25.0406925490905,60.3155675812435
94,1261,Oljenkorsi,Halmstrået,Oljenkorsi,Oljenkorsi 6,Halmstrået 6,Vantaa,Vantaa,City Bike Vantaa,10,25.0625997674166,60.2987730125672
95,1263,Urheilutie,Idrottsvägen,Urheilutie,Urheilutie 2,Idrottsvägen 2,Vantaa,Vantaa,City Bike Vantaa,20,25.0595055310412,60.2956960967312
